Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-PL%,1.26 [1.00-1.59],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-TG%,1.17 [0.97-1.41],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.16 [0.96-1.41],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-CE%,1.01 [0.83-1.23],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,1.01 [0.83-1.22],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
DHA%,1.00 [0.82-1.21],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.97 [0.79-1.18],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.95 [0.77-1.16],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,0.91 [0.76-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
SFA%,0.86 [0.70-1.04],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
