Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.57 [1.31-1.89],0.217,,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.53 [1.29-1.83],0.365,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.52 [1.28-1.80],0.318,,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.52 [1.27-1.81],0.753,,Triglycerides to Total-Lipids in IDL percentage
M-HDL-TG%,1.14 [0.94-1.39],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-C%,0.66 [0.57-0.77],0.040,*,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.65 [0.55-0.76],0.016,*,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C%,0.64 [0.56-0.75],6.355e-04,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.63 [0.54-0.74],0.001,**,Cholesterol to Total-Lipids in Small LDL percentage
Non-HDL-C,0.63 [0.53-0.75],0.046,*,Total-Cholesterol Minus HDL-C
LDL-C,0.62 [0.52-0.74],0.037,*,LDL Cholesterol
L-LDL-C,0.62 [0.52-0.74],0.050,*,Cholesterol in Large LDL
Total-C,0.62 [0.52-0.73],0.007,**,Total-Cholesterol
Clinical LDL-C,0.62 [0.52-0.74],0.009,**,Clinical LDL Cholesterol
Total-CE,0.61 [0.52-0.73],0.005,**,Total-Esterified Cholesterol
IDL-C,0.61 [0.51-0.74],0.028,*,Cholesterol in IDL
IDL-CE,0.61 [0.51-0.73],0.026,*,Cholesteryl Esters in IDL
L-LDL-PL,0.60 [0.50-0.73],0.036,*,Phospholipids in Large LDL
