Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.31 [1.24-1.39],5.352e-15,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.29 [1.22-1.37],4.051e-14,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.29 [1.22-1.37],5.540e-13,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.25 [1.18-1.33],4.025e-08,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.24 [1.17-1.32],1.502e-06,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,1.22 [1.15-1.29],1.454e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-VLDL-TG%,1.21 [1.14-1.29],1.608e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-TG%,1.20 [1.13-1.27],1.193e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-PL%,1.19 [1.12-1.26],0.002,**,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.17 [1.11-1.25],0.011,*,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-FC%,0.86 [0.82-0.91],0.013,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-CE%,0.86 [0.81-0.91],0.019,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
SM,0.85 [0.81-0.91],0.035,*,Sphingomyelins
M-VLDL-CE%,0.85 [0.81-0.90],8.758e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-FC,0.85 [0.80-0.90],0.041,*,Free Cholesterol in Very Small VLDL
Cholines,0.85 [0.80-0.90],0.011,*,Total-Cholines
S-VLDL-CE%,0.85 [0.80-0.90],0.004,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Albumin,0.85 [0.80-0.90],0.007,**,Albumin
S-LDL-CE%,0.85 [0.80-0.90],0.006,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
VLDL-FC,0.84 [0.79-0.90],0.008,**,Free Cholesterol in VLDL
M-VLDL-C%,0.84 [0.80-0.89],3.117e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.84 [0.79-0.88],4.193e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Total-PL,0.83 [0.79-0.88],1.539e-04,***,Total-Phospholipids in Lipoprotein Particles
S-VLDL-CE,0.83 [0.78-0.89],0.001,**,Cholesteryl Esters in Small VLDL
ApoB/ApoA1,0.83 [0.78-0.88],6.862e-04,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-FC%,0.83 [0.79-0.88],1.040e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-L,0.83 [0.78-0.88],1.629e-04,***,Total-Lipids in Medium VLDL
S-VLDL-PL,0.83 [0.78-0.88],2.003e-04,***,Phospholipids in Small VLDL
M-VLDL-PL%,0.82 [0.78-0.87],7.232e-07,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.82 [0.78-0.87],1.368e-06,***,Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C,0.82 [0.77-0.87],2.905e-05,***,Cholesterol in Very Small VLDL
S-VLDL-C,0.82 [0.77-0.87],3.315e-05,***,Cholesterol in Small VLDL
VLDL-C,0.82 [0.77-0.87],9.841e-06,***,VLDL Cholesterol
PUFA,0.82 [0.77-0.87],1.985e-06,***,Polyunsaturated Fatty Acids
Total-L,0.81 [0.77-0.86],3.062e-07,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-CE,0.81 [0.77-0.86],2.515e-06,***,Cholesteryl Esters in Very Small VLDL
M-VLDL-P,0.81 [0.76-0.86],6.137e-06,***,Concentration of Medium VLDL Particles
Omega-6,0.81 [0.76-0.86],1.499e-07,***,Omega-6 Fatty Acids
M-VLDL-PL,0.81 [0.76-0.86],1.309e-06,***,Phospholipids in Medium VLDL
VLDL-CE,0.81 [0.76-0.86],4.161e-07,***,Cholesteryl Esters in VLDL
XS-VLDL-C%,0.81 [0.76-0.85],1.157e-09,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.80 [0.76-0.85],5.527e-10,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC,0.80 [0.75-0.85],2.277e-07,***,Free Cholesterol in Small VLDL
S-LDL-P,0.80 [0.75-0.85],1.511e-07,***,Concentration of Small LDL Particles
S-VLDL-FC%,0.80 [0.75-0.84],6.214e-10,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.80 [0.75-0.85],6.565e-09,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-PL,0.80 [0.75-0.84],1.878e-08,***,Phospholipids in Small LDL
