Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-CE,1.08 [0.99-1.18],1.000,,Total-Esterified Cholesterol
LDL-CE,1.04 [0.95-1.13],1.000,,Cholesteryl Esters in LDL
M-LDL-TG%,1.04 [0.94-1.13],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
DHA%,1.03 [0.94-1.13],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
VLDL-CE,1.01 [0.92-1.11],1.000,,Cholesteryl Esters in VLDL
M-LDL-FC%,0.99 [0.91-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Tyr,0.98 [0.90-1.08],1.000,,Tyrosine
His,0.96 [0.88-1.05],1.000,,Histidine
Ile,0.86 [0.78-0.95],1.000,,Isoleucine
Leu,0.85 [0.77-0.93],1.000,,Leucine
