Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB,1.07 [0.99-1.16],1.000,,Apolipoprotein B
ApoB/ApoA1,1.07 [0.98-1.16],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Clinical LDL-C,1.05 [0.97-1.14],1.000,,Clinical LDL Cholesterol
M-LDL-PL%,1.02 [0.94-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Gly,1.01 [0.93-1.10],1.000,,Glycine
LA%,0.99 [0.91-1.08],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Unsaturation,0.99 [0.91-1.07],1.000,,Degree of Unsaturation
PUFA%,0.97 [0.89-1.05],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.95 [0.88-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,0.95 [0.87-1.03],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
