Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.31 [1.26-1.36],3.590e-33,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.29 [1.24-1.34],2.643e-30,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.29 [1.23-1.34],3.970e-28,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.27 [1.21-1.32],8.894e-21,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.24 [1.19-1.29],6.255e-20,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.23 [1.18-1.28],1.606e-15,***,Glycoprotein Acetyls
XS-VLDL-TG%,1.22 [1.17-1.27],6.833e-15,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.19 [1.13-1.25],6.730e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG%,1.19 [1.14-1.25],1.008e-09,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,1.19 [1.14-1.24],2.323e-10,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,1.19 [1.13-1.25],7.954e-06,***,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-TG%,1.19 [1.14-1.24],2.902e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
XS-VLDL-TG,1.18 [1.14-1.23],1.594e-11,***,Triglycerides in Very Small VLDL
M-HDL-PL%,1.18 [1.13-1.23],3.571e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-TG,1.18 [1.13-1.23],8.282e-11,***,Triglycerides in IDL
M-HDL-TG%,1.17 [1.12-1.22],4.910e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-TG,1.17 [1.12-1.21],1.410e-08,***,Triglycerides in Medium HDL
HDL-TG,1.16 [1.12-1.21],2.166e-08,***,Triglycerides in HDL
M-VLDL-TG%,1.16 [1.11-1.22],2.039e-06,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG,1.16 [1.11-1.21],1.198e-06,***,Triglycerides in Small HDL
L-LDL-TG,1.15 [1.11-1.20],2.156e-07,***,Triglycerides in Large LDL
LDL-TG,1.15 [1.10-1.19],2.785e-06,***,Triglycerides in LDL
Gly,1.14 [1.10-1.19],4.714e-05,***,Glycine
L-HDL-TG,1.14 [1.10-1.19],2.265e-05,***,Triglycerides in Large HDL
S-HDL-PL%,1.14 [1.09-1.19],2.437e-04,***,Phospholipids to Total-Lipids in Small HDL percentage
MUFA,1.14 [1.09-1.19],2.341e-04,***,Monounsaturated Fatty Acids
XL-HDL-TG,1.14 [1.09-1.18],6.716e-05,***,Triglycerides in Very Large HDL
L-HDL-TG%,1.13 [1.09-1.18],0.002,**,Triglycerides to Total-Lipids in Large HDL percentage
IDL-PL%,1.13 [1.08-1.18],0.002,**,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG,1.13 [1.09-1.18],2.001e-04,***,Triglycerides in Medium LDL
L-HDL-PL%,1.13 [1.08-1.18],0.007,**,Phospholipids to Total-Lipids in Large HDL percentage
SFA%,1.12 [1.08-1.17],0.011,*,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG%,1.12 [1.07-1.17],0.043,*,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-TG,1.12 [1.07-1.16],0.021,*,Triglycerides in Small VLDL
S-LDL-TG,1.12 [1.07-1.16],0.006,**,Triglycerides in Small LDL
M-VLDL-PL%,0.90 [0.86-0.93],0.044,*,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-C,0.89 [0.86-0.93],0.038,*,Cholesterol in IDL
L-LDL-C,0.89 [0.86-0.93],0.034,*,Cholesterol in Large LDL
XL-VLDL-FC%,0.89 [0.85-0.93],0.044,*,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,0.89 [0.85-0.92],0.001,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Albumin,0.88 [0.85-0.92],0.001,**,Albumin
Clinical LDL-C,0.88 [0.85-0.92],5.295e-04,***,Clinical LDL Cholesterol
L-HDL-C%,0.88 [0.85-0.91],2.471e-05,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-FC%,0.88 [0.84-0.91],3.085e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC,0.87 [0.84-0.91],7.779e-05,***,Free Cholesterol in Large LDL
L-HDL-CE%,0.87 [0.84-0.91],4.222e-07,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-FC,0.87 [0.83-0.91],4.911e-05,***,Free Cholesterol in Medium LDL
Citrate,0.87 [0.83-0.91],2.680e-04,***,Citrate
LDL-FC,0.87 [0.83-0.91],1.767e-05,***,Free Cholesterol in LDL
M-VLDL-CE%,0.87 [0.84-0.90],4.944e-08,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.86 [0.83-0.90],6.552e-08,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-FC,0.86 [0.83-0.90],1.988e-06,***,Free Cholesterol in Small LDL
XS-VLDL-FC%,0.86 [0.83-0.90],7.291e-09,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Leu,0.86 [0.82-0.90],2.301e-05,***,Leucine
XL-HDL-C%,0.86 [0.82-0.89],5.068e-07,***,Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-C%,0.85 [0.82-0.89],7.181e-09,***,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-FC%,0.85 [0.82-0.88],3.359e-10,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-CE%,0.85 [0.82-0.88],2.305e-10,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,0.85 [0.81-0.88],9.387e-10,***,Cholesterol to Total-Lipids in Medium HDL percentage
Total-BCAA,0.85 [0.81-0.89],2.310e-07,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-LDL-FC%,0.85 [0.82-0.88],2.431e-13,***,Free Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.84 [0.81-0.88],2.234e-12,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-CE%,0.84 [0.81-0.88],4.593e-12,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Val,0.83 [0.80-0.87],6.142e-10,***,Valine
XL-VLDL-C%,0.83 [0.79-0.87],3.845e-10,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-CE%,0.83 [0.80-0.86],4.535e-15,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-VLDL-CE%,0.83 [0.79-0.86],8.424e-12,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-FC%,0.83 [0.79-0.86],5.320e-15,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,0.82 [0.79-0.86],1.543e-16,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.82 [0.79-0.86],8.549e-17,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-C%,0.82 [0.79-0.86],1.507e-15,***,Cholesterol to Total-Lipids in Small HDL percentage
IDL-CE%,0.82 [0.79-0.86],2.146e-17,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Unsaturation,0.82 [0.79-0.86],1.259e-13,***,Degree of Unsaturation
L-LDL-FC%,0.82 [0.79-0.85],1.804e-17,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-PL%,0.82 [0.79-0.86],6.244e-15,***,Phospholipids to Total-Lipids in Small VLDL percentage
Omega-6%,0.82 [0.79-0.85],1.612e-17,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.82 [0.79-0.85],6.119e-20,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.81 [0.78-0.84],2.439e-20,***,Cholesterol to Total-Lipids in Small LDL percentage
PUFA%,0.81 [0.78-0.84],3.123e-20,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-C%,0.81 [0.78-0.84],1.120e-23,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.80 [0.77-0.83],1.254e-23,***,Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.79 [0.76-0.83],6.449e-22,***,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.79 [0.75-0.82],1.860e-22,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
