Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"0.055 [-0.027,0.137]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,"0.055 [-0.025,0.134]",1.000,,Apolipoprotein B
Clinical LDL-C,"0.040 [-0.040,0.120]",1.000,,Clinical LDL Cholesterol
His,"0.030 [-0.053,0.114]",1.000,,Histidine
M-LDL-FC%,"0.014 [-0.073,0.100]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Gly,"-0.008 [-0.097,0.082]",1.000,,Glycine
Phe,"-0.023 [-0.106,0.061]",1.000,,Phenylalanine
M-LDL-PL%,"-0.031 [-0.112,0.049]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Ile,"-0.041 [-0.127,0.046]",1.000,,Isoleucine
Tyr,"-0.091 [-0.176,-0.006]",1.000,,Tyrosine
