Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA/MUFA,"1.540 [1.218,1.861]",1.633e-15,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PUFA%,"1.316 [1.008,1.624]",1.339e-11,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,"1.204 [0.879,1.529]",8.651e-08,***,Degree of Unsaturation
DHA%,"1.185 [0.870,1.500]",3.956e-08,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Citrate,"1.179 [0.843,1.514]",1.331e-06,***,Citrate
Leu,"1.125 [0.803,1.448]",1.887e-06,***,Leucine
Omega-6%,"1.040 [0.732,1.348]",7.986e-06,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Creatinine,"1.017 [0.671,1.362]",0.002,**,Creatinine
LA%,"0.985 [0.665,1.305]",3.618e-04,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-3%,"0.889 [0.563,1.215]",0.020,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Total-FA,"-0.838 [-1.147,-0.528]",0.026,*,Total-Fatty Acids
SFA,"-0.895 [-1.201,-0.589]",0.002,**,Saturated Fatty Acids
Acetoacetate,"-1.033 [-1.356,-0.711]",8.028e-05,***,Acetoacetate
MUFA,"-1.159 [-1.470,-0.849]",5.651e-08,***,Monounsaturated Fatty Acids
Pyruvate,"-1.174 [-1.534,-0.815]",3.620e-05,***,Pyruvate
3-Hydroxybutyrate,"-1.216 [-1.572,-0.860]",4.828e-06,***,3-Hydroxybutyrate
MUFA%,"-1.551 [-1.877,-1.224]",3.321e-15,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,"-2.414 [-2.745,-2.083]",7.739e-41,***,Glycoprotein Acetyls
