Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA/MUFA,"0.130 [0.089,0.171]",1.028e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PUFA%,"0.121 [0.082,0.159]",1.737e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,"0.121 [0.081,0.160]",5.968e-04,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,"0.107 [0.069,0.146]",0.009,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,"0.098 [0.057,0.139]",0.567,,Degree of Unsaturation
Clinical LDL-C,"-0.002 [-0.041,0.037]",1.000,,Clinical LDL Cholesterol
ApoB,"-0.017 [-0.057,0.023]",1.000,,Apolipoprotein B
M-LDL-TG%,"-0.056 [-0.096,-0.016]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
GlycA,"-0.105 [-0.147,-0.063]",0.222,,Glycoprotein Acetyls
MUFA%,"-0.120 [-0.162,-0.079]",0.003,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
