Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Clinical LDL-C,"20.618 [-1.657,42.893]",1.000,,Clinical LDL Cholesterol
ApoB,"17.080 [-5.350,39.511]",1.000,,Apolipoprotein B
LDL-C,"16.624 [-5.537,38.785]",1.000,,LDL Cholesterol
M-LDL-FC%,"13.728 [-8.019,35.474]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,"5.628 [-20.549,31.806]",1.000,,HDL Cholesterol
M-LDL-PL%,"-4.866 [-27.180,17.448]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
DHA,"-6.861 [-29.384,15.662]",1.000,,Docosahexaenoic Acid
MUFA,"-9.731 [-31.462,12.001]",1.000,,Monounsaturated Fatty Acids
Omega-3,"-10.511 [-33.199,12.176]",1.000,,Omega-3 Fatty Acids
SFA%,"-14.013 [-34.763,6.737]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
