Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-C%,"15.328 [9.404,21.252]",0.091,,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-CE%,"15.303 [9.234,21.372]",0.178,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,"14.950 [8.940,20.960]",0.251,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,"14.851 [8.796,20.906]",0.353,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-CE%,"14.656 [8.828,20.484]",0.191,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
GlycA,"-14.853 [-21.175,-8.531]",0.950,,Glycoprotein Acetyls
S-HDL-L,"-15.188 [-21.375,-9.001]",0.345,,Total-Lipids in Small HDL
XS-VLDL-TG%,"-15.400 [-21.544,-9.256]",0.207,,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-HDL-PL,"-15.666 [-21.889,-9.443]",0.186,,Phospholipids in Small HDL
L-HDL-PL%,"-19.133 [-25.161,-13.106]",1.160e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
