Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Glu,"0.025 [0.019,0.031]",5.156e-11,***,Glucose
M-LDL-PL%,"0.008 [0.002,0.015]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-PL%,"0.006 [-0.000,0.012]",1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-CE%,"0.000 [-0.006,0.007]",1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-TG%,"0.000 [-0.006,0.006]",1.000,,Triglycerides to Total-Lipids in Large HDL percentage
IDL-C,"-0.016 [-0.022,-0.009]",0.304,,Cholesterol in IDL
IDL-FC,"-0.016 [-0.022,-0.009]",0.284,,Free Cholesterol in IDL
Albumin,"-0.016 [-0.022,-0.010]",0.159,,Albumin
Citrate,"-0.021 [-0.027,-0.014]",1.119e-04,***,Citrate
Lactate,"-0.035 [-0.041,-0.029]",7.691e-22,***,Lactate
