Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA%,"8.524 [2.718,14.329]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,"7.953 [2.194,13.712]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3%,"7.096 [1.135,13.056]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6%,"6.504 [0.730,12.278]",1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
DHA,"4.807 [-1.159,10.772]",1.000,,Docosahexaenoic Acid
M-LDL-PL%,"-0.492 [-6.403,5.418]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
SFA%,"-2.087 [-7.584,3.409]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,"-5.185 [-11.121,0.752]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,"-11.434 [-17.454,-5.414]",1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,"-15.366 [-21.236,-9.496]",0.067,,Phospholipids to Total-Lipids in Large HDL percentage
