Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"21.159 [8.833,33.485]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,"12.171 [-0.394,24.737]",1.000,,LDL Cholesterol
Non-HDL-C,"11.933 [-0.709,24.575]",1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,"11.686 [-1.055,24.428]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
HDL-C,"0.202 [-14.643,15.046]",1.000,,HDL Cholesterol
Total-FA,"-6.612 [-18.887,5.663]",1.000,,Total-Fatty Acids
SFA,"-9.725 [-21.892,2.443]",1.000,,Saturated Fatty Acids
MUFA,"-11.449 [-23.771,0.872]",1.000,,Monounsaturated Fatty Acids
SFA%,"-14.199 [-25.964,-2.435]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,"-35.158 [-47.723,-22.594]",0.010,**,Phospholipids to Total-Lipids in Large HDL percentage
