Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LA%,"11.280 [5.115,17.444]",1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA/MUFA,"9.544 [3.440,15.648]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,"5.610 [-0.276,11.495]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA%,"3.778 [-2.106,9.662]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,"2.169 [-3.922,8.261]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,"-1.226 [-7.367,4.915]",1.000,,Omega-3 Fatty Acids
M-LDL-PL%,"-2.024 [-8.064,4.015]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
SFA%,"-5.569 [-11.184,0.047]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
MUFA,"-6.565 [-12.446,-0.684]",1.000,,Monounsaturated Fatty Acids
L-HDL-PL%,"-15.184 [-21.183,-9.186]",0.162,,Phospholipids to Total-Lipids in Large HDL percentage
