Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA/MUFA,"10.726 [4.573,16.879]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,"8.582 [2.650,14.514]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA%,"5.644 [-0.288,11.575]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
VLDL-CE,"0.529 [-5.673,6.730]",1.000,,Cholesteryl Esters in VLDL
Remnant-C,"0.007 [-6.125,6.139]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Omega-6,"-4.373 [-10.451,1.705]",1.000,,Omega-6 Fatty Acids
L-HDL-PL%,"-14.389 [-20.437,-8.341]",0.717,,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-L,"-15.241 [-21.444,-9.039]",0.338,,Total-Lipids in Small HDL
GlycA,"-15.615 [-21.953,-9.277]",0.316,,Glycoprotein Acetyls
S-HDL-PL,"-16.068 [-22.307,-9.829]",0.103,,Phospholipids in Small HDL
