Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Non-HDL-C,"2.681 [-0.712,6.074]",1.000,,Total-Cholesterol Minus HDL-C
Clinical LDL-C,"2.441 [-0.950,5.831]",1.000,,Clinical LDL Cholesterol
LDL-C,"2.071 [-1.302,5.444]",1.000,,LDL Cholesterol
M-LDL-FC%,"1.790 [-1.520,5.100]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,"1.177 [-2.808,5.161]",1.000,,HDL Cholesterol
Omega-6/Omega-3,"-0.204 [-3.616,3.208]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-PL%,"-0.757 [-4.153,2.639]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
SFA%,"-1.345 [-4.503,1.813]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Val,"-1.443 [-5.027,2.140]",1.000,,Valine
MUFA%,"-1.550 [-5.011,1.912]",1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
