Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.06 [0.92-1.22],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-C%,1.05 [0.91-1.19],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,1.04 [0.90-1.19],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-PL%,1.01 [0.89-1.15],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-FC%,1.00 [0.86-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.97 [0.84-1.12],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
HDL-C,0.95 [0.82-1.10],1.000,,HDL Cholesterol
LDL-C,0.94 [0.82-1.08],1.000,,LDL Cholesterol
Non-HDL-C,0.93 [0.81-1.06],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.93 [0.81-1.06],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
