Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Acetone,0.0707,0.0748,Acetone
Albumin,0.0993,0.0619,Albumin
Creatinine,0.0602,0.0568,Creatinine
L-LDL-PL%,0.0410,0.0517,Phospholipids to Total-Lipids in Large LDL percentage
LA%,0.0643,0.0455,Linoleic Acid to Total-Fatty Acids percentage
Gln,0.0383,0.0454,Glutamine
Gly,0.0332,0.0421,Glycine
3-Hydroxybutyrate,0.0285,0.0351,3-Hydroxybutyrate
Lactate,0.0313,0.0319,Lactate
Ala,0.0202,0.0304,Alanine
His,0.0303,0.0290,Histidine
Citrate,0.0187,0.0269,Citrate
GlycA,0.0373,0.0265,Glycoprotein Acetyls
M-LDL-C%,0.0150,0.0239,Cholesterol to Total-Lipids in Medium LDL percentage
Sc-ala,0.0177,0.0239,Spectrometer-corrected alanine
S-HDL-PL%,0.0277,0.0236,Phospholipids to Total-Lipids in Small HDL percentage
Omega-3,0.0332,0.0200,Omega-3 Fatty Acids
Acetoacetate,0.0157,0.0197,Acetoacetate
IDL-PL%,0.0177,0.0167,Phospholipids to Total-Lipids in IDL percentage
Pyruvate,0.0125,0.0162,Pyruvate
Val,0.0138,0.0149,Valine
Acetate,0.0122,0.0146,Acetate
SFA%,0.0200,0.0127,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-BCAA,0.0117,0.0124,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Tyr,0.0045,0.0120,Tyrosine
M-LDL-PL%,0.0190,0.0118,Phospholipids to Total-Lipids in Medium LDL percentage
Ile,0.0078,0.0118,Isoleucine
Omega-6/Omega-3,0.0192,0.0117,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-C%,0.0073,0.0106,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-CE%,0.0072,0.0092,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Glu,0.0072,0.0089,Glucose
XL-HDL-FC,0.0077,0.0088,Free Cholesterol in Very Large HDL
L-HDL-TG,0.0052,0.0086,Triglycerides in Large HDL
PUFA%,0.0075,0.0084,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0078,0.0081,Free Cholesterol to Total-Lipids in IDL percentage
Omega-3%,0.0135,0.0081,Omega-3 Fatty Acids to Total-Fatty Acids percentage
SM,0.0080,0.0075,Sphingomyelins
S-HDL-CE%,0.0105,0.0074,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-6%,0.0062,0.0067,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-LDL-FC,0.0067,0.0066,Free Cholesterol in Small LDL
LDL-size,0.0055,0.0062,Average Diameter for LDL Particles
Cholines,0.0062,0.0048,Total-Cholines
MUFA%,0.0020,0.0048,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0015,0.0046,Glucose-lactate
XL-HDL-CE%,0.0045,0.0045,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-VLDL-CE%,0.0048,0.0040,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Omega-6,0.0053,0.0040,Omega-6 Fatty Acids
XS-VLDL-PL,0.0045,0.0039,Phospholipids in Very Small VLDL
XL-VLDL-C%,0.0038,0.0038,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-CE%,0.0040,0.0036,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Unsaturation,0.0027,0.0035,Degree of Unsaturation
IDL-C%,0.0020,0.0034,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-CE%,0.0043,0.0033,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-LDL-TG,0.0007,0.0031,Triglycerides in Medium LDL
S-LDL-CE%,0.0017,0.0031,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-PL,0.0025,0.0028,Total-Phospholipids in Lipoprotein Particles
S-LDL-PL%,0.0020,0.0028,Phospholipids to Total-Lipids in Small LDL percentage
XXL-VLDL-TG%,0.0012,0.0027,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-TG%,0.0018,0.0027,Triglycerides to Total-Lipids in IDL percentage
L-HDL-FC%,0.0020,0.0027,Free Cholesterol to Total-Lipids in Large HDL percentage
Leu,0.0043,0.0026,Leucine
XS-VLDL-FC%,0.0013,0.0025,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC%,0.0033,0.0025,Free Cholesterol to Total-Lipids in Medium HDL percentage
XXL-VLDL-CE%,0.0022,0.0022,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,0.0008,0.0019,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-TG,0.0025,0.0018,Triglycerides in Medium HDL
L-HDL-C,0.0007,0.0017,Cholesterol in Large HDL
L-VLDL-FC%,0.0008,0.0015,Free Cholesterol to Total-Lipids in Large VLDL percentage
IDL-CE%,0.0020,0.0015,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-VLDL-TG%,0.0013,0.0012,Triglycerides to Total-Lipids in Very Large VLDL percentage
Phe,0.0007,0.0012,Phenylalanine
XXL-VLDL-FC%,0.0003,0.0010,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-TG,0.0010,0.0009,Triglycerides in Large LDL
XL-HDL-TG,0.0002,0.0005,Triglycerides in Very Large HDL
