Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-CE%,1.05 [0.85-1.28],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,1.05 [0.86-1.27],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.04 [0.86-1.27],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,1.04 [0.86-1.26],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.01 [0.84-1.21],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-FC%,1.00 [0.82-1.21],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-C%,0.99 [0.82-1.19],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,0.97 [0.81-1.16],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-VLDL-TG%,0.96 [0.80-1.16],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,0.94 [0.79-1.12],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
