Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Leu,1.03 [0.97-1.09],1.000,,Leucine
Total-BCAA,1.02 [0.96-1.09],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.01 [0.95-1.08],1.000,,Valine
ApoB/ApoA1,1.01 [0.95-1.07],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-PL%,1.01 [0.94-1.07],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
Total-FC,0.99 [0.93-1.06],1.000,,Total-Free Cholesterol
Citrate,0.99 [0.93-1.05],1.000,,Citrate
Lactate,0.99 [0.93-1.05],1.000,,Lactate
GlycA,0.97 [0.91-1.04],1.000,,Glycoprotein Acetyls
M-LDL-FC%,0.97 [0.90-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
