Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.15 [1.02-1.30],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-CE%,1.14 [1.00-1.30],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.11 [0.98-1.27],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-C%,1.10 [0.96-1.25],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-FC%,1.02 [0.89-1.18],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-TG%,0.99 [0.87-1.13],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.94 [0.82-1.07],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.92 [0.81-1.05],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.90 [0.80-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.89 [0.79-1.01],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
