Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Remnant-C,1.06 [0.91-1.22],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,1.05 [0.89-1.24],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Non-HDL-C,1.03 [0.89-1.19],1.000,,Total-Cholesterol Minus HDL-C
Clinical LDL-C,1.03 [0.89-1.19],1.000,,Clinical LDL Cholesterol
LDL-C,1.01 [0.87-1.17],1.000,,LDL Cholesterol
Lactate,1.00 [0.86-1.16],1.000,,Lactate
Glu,0.93 [0.80-1.08],1.000,,Glucose
Total-FA,0.91 [0.77-1.06],1.000,,Total-Fatty Acids
M-VLDL-TG%,0.90 [0.77-1.04],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
HDL-FC,0.88 [0.75-1.04],1.000,,Free Cholesterol in HDL
