Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.14 [1.11-1.16],1.202e-25,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.13 [1.11-1.15],2.220e-25,***,Glycoprotein Acetyls
XL-HDL-FC%,1.11 [1.08-1.13],1.220e-11,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-TG%,1.10 [1.08-1.12],7.901e-13,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-TG%,1.09 [1.07-1.12],2.193e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.09 [1.07-1.12],4.099e-09,***,Phospholipids to Total-Lipids in Large HDL percentage
TG/PG,1.09 [1.07-1.11],8.996e-10,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.09 [1.07-1.11],1.004e-09,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.09 [1.06-1.11],4.015e-10,***,Triglycerides to Total-Lipids in Medium VLDL percentage
VLDL-size,1.09 [1.06-1.11],1.133e-08,***,Average Diameter for VLDL Particles
IDL-TG%,1.08 [1.06-1.11],2.834e-09,***,Triglycerides to Total-Lipids in IDL percentage
L-HDL-TG%,1.08 [1.06-1.11],1.633e-07,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.08 [1.06-1.10],4.909e-08,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-PL%,1.07 [1.05-1.09],7.828e-07,***,Phospholipids to Total-Lipids in Large VLDL percentage
L-LDL-TG%,1.07 [1.05-1.09],1.624e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
Creatinine,1.07 [1.05-1.10],0.004,**,Creatinine
S-HDL-TG,1.07 [1.05-1.09],1.956e-06,***,Triglycerides in Small HDL
M-HDL-TG%,1.07 [1.05-1.09],2.533e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.07 [1.05-1.09],5.355e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,1.07 [1.05-1.09],2.531e-05,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-LDL-TG%,1.07 [1.04-1.09],1.818e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG,1.07 [1.04-1.09],3.098e-04,***,Triglycerides in Very Large VLDL
S-VLDL-TG%,1.06 [1.04-1.08],4.666e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
VLDL-TG,1.06 [1.04-1.08],0.002,**,Triglycerides in VLDL
XL-VLDL-L,1.06 [1.04-1.08],0.002,**,Total-Lipids in Very Large VLDL
L-VLDL-PL,1.06 [1.04-1.08],0.001,**,Phospholipids in Large VLDL
XL-VLDL-P,1.06 [1.04-1.08],0.004,**,Concentration of Very Large VLDL Particles
Total-TG,1.06 [1.04-1.08],0.007,**,Total-Triglycerides
L-VLDL-TG,1.06 [1.04-1.08],0.007,**,Triglycerides in Large VLDL
L-VLDL-L,1.06 [1.04-1.08],0.006,**,Total-Lipids in Large VLDL
MUFA,1.06 [1.04-1.08],0.042,*,Monounsaturated Fatty Acids
