Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.25 [1.04-1.48],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.19 [1.00-1.40],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.18 [0.99-1.39],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
S-HDL-TG%,1.11 [0.94-1.33],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-FC%,1.00 [0.85-1.19],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL%,0.97 [0.82-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.86 [0.72-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.82 [0.69-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.79 [0.67-0.93],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.79 [0.67-0.92],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
