Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.40 [1.24-1.58],0.009,**,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.36 [1.21-1.53],0.103,,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.34 [1.19-1.51],0.227,,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-TG%,1.23 [1.10-1.39],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.03 [0.92-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-CE%,0.77 [0.69-0.86],0.665,,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.76 [0.68-0.85],0.165,,Cholesterol to Total-Lipids in IDL percentage
M-HDL-C%,0.75 [0.67-0.84],0.308,,Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-CE%,0.73 [0.65-0.82],0.043,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-C%,0.71 [0.64-0.80],0.002,**,Cholesterol to Total-Lipids in Large LDL percentage
