Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.26 [1.23-1.30],3.978e-50,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.26 [1.23-1.30],1.085e-49,***,Triglycerides to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.26 [1.22-1.29],2.075e-46,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,1.25 [1.22-1.29],7.975e-44,***,Glycoprotein Acetyls
M-LDL-TG%,1.24 [1.21-1.28],1.367e-46,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.20 [1.17-1.24],1.639e-32,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG%,1.20 [1.16-1.23],2.750e-26,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.19 [1.15-1.22],9.592e-27,***,Triglycerides to Total-Lipids in Small LDL percentage
MUFA%,1.18 [1.14-1.22],3.525e-19,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,1.18 [1.14-1.21],1.762e-19,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-VLDL-TG%,1.15 [1.12-1.19],1.754e-16,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.15 [1.11-1.18],2.873e-14,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Omega-6/Omega-3,1.14 [1.11-1.17],2.304e-12,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-HDL-PL%,1.13 [1.10-1.17],7.633e-09,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.12 [1.09-1.15],8.878e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
Creatinine,1.10 [1.07-1.14],0.007,**,Creatinine
Glu-lactate,1.09 [1.06-1.13],2.723e-04,***,Glucose-lactate
TG/PG,1.09 [1.06-1.13],0.018,*,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.09 [1.06-1.12],0.004,**,Triglycerides to Total-Lipids in Medium HDL percentage
Sc-ala,1.08 [1.05-1.11],0.033,*,Spectrometer-corrected alanine
L-LDL-CE%,0.92 [0.90-0.95],0.003,**,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-CE%,0.92 [0.90-0.95],0.019,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XS-VLDL-P,0.92 [0.90-0.95],0.004,**,Concentration of Very Small VLDL Particles
S-VLDL-CE,0.92 [0.90-0.95],0.002,**,Cholesteryl Esters in Small VLDL
M-LDL-CE%,0.92 [0.89-0.95],0.004,**,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XL-HDL-C,0.92 [0.89-0.95],0.009,**,Cholesterol in Very Large HDL
XS-VLDL-FC,0.92 [0.89-0.94],6.531e-04,***,Free Cholesterol in Very Small VLDL
L-HDL-FC,0.92 [0.89-0.95],0.015,*,Free Cholesterol in Large HDL
L-HDL-L,0.92 [0.89-0.95],0.022,*,Total-Lipids in Large HDL
S-LDL-CE%,0.91 [0.89-0.94],3.154e-04,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-PL,0.91 [0.89-0.94],0.002,**,Phospholipids in Medium HDL
XL-HDL-CE,0.91 [0.89-0.94],0.002,**,Cholesteryl Esters in Very Large HDL
L-HDL-P,0.91 [0.88-0.94],0.002,**,Concentration of Large HDL Particles
Total-FA,0.91 [0.88-0.94],5.296e-04,***,Total-Fatty Acids
L-HDL-C,0.91 [0.88-0.94],6.909e-04,***,Cholesterol in Large HDL
M-HDL-CE%,0.91 [0.88-0.93],2.978e-05,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-VLDL-PL,0.91 [0.88-0.93],5.714e-06,***,Phospholipids in Small VLDL
L-HDL-CE,0.91 [0.88-0.94],4.629e-04,***,Cholesteryl Esters in Large HDL
XL-VLDL-C%,0.91 [0.88-0.93],1.636e-05,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-C,0.91 [0.88-0.93],1.158e-06,***,Cholesterol in Small VLDL
VLDL-C,0.91 [0.88-0.93],1.324e-06,***,VLDL Cholesterol
Acetone,0.90 [0.88-0.93],6.368e-05,***,Acetone
S-VLDL-CE%,0.90 [0.88-0.93],3.603e-07,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-L,0.90 [0.88-0.93],2.339e-06,***,Total-Lipids in Medium VLDL
Acetate,0.90 [0.88-0.93],4.596e-06,***,Acetate
S-HDL-CE%,0.90 [0.88-0.93],1.141e-07,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-HDL-FC%,0.90 [0.87-0.93],1.945e-04,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Leu,0.90 [0.87-0.93],7.429e-06,***,Leucine
XL-HDL-C%,0.90 [0.87-0.93],2.409e-04,***,Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-L,0.90 [0.87-0.93],2.593e-06,***,Total-Lipids in Medium HDL
XL-VLDL-CE%,0.90 [0.87-0.93],3.321e-07,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
