Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.15 [1.05-1.27],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-PL%,1.11 [1.00-1.23],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-PL%,1.07 [0.98-1.17],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-PL%,1.07 [0.97-1.17],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,1.05 [0.96-1.14],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.95 [0.86-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-C,0.80 [0.73-0.88],0.970,,Total-Cholesterol
IDL-PL,0.80 [0.73-0.88],0.752,,Phospholipids in IDL
Total-FC,0.80 [0.73-0.88],0.794,,Total-Free Cholesterol
L-HDL-FC%,0.78 [0.71-0.86],0.326,,Free Cholesterol to Total-Lipids in Large HDL percentage
