Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
DHA,"8211.219 [3216.284,13206.153]",1.000,,Docosahexaenoic Acid
Omega-3,"6736.117 [1837.167,11635.067]",1.000,,Omega-3 Fatty Acids
M-LDL-FC%,"3114.850 [-1869.657,8099.356]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA%,"2458.301 [-2599.633,7516.235]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,"1756.578 [-3050.527,6563.682]",1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-C%,"-1286.150 [-6319.600,3747.299]",1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-C%,"-1786.426 [-6589.098,3016.246]",1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,"-2244.084 [-6965.806,2477.639]",1.000,,Apolipoprotein B
ApoB/ApoA1,"-2705.893 [-7522.533,2110.747]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-CE%,"-4456.760 [-9230.923,317.403]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
