Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,"0.003 [0.001,0.006]",1.000,,Cholesteryl Esters in HDL
M-LDL-TG%,"0.003 [0.000,0.005]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Total-CE,"0.002 [-0.001,0.004]",1.000,,Total-Esterified Cholesterol
LDL-CE,"0.001 [-0.002,0.003]",1.000,,Cholesteryl Esters in LDL
VLDL-C,"0.001 [-0.002,0.003]",1.000,,VLDL Cholesterol
L-LDL-PL%,"-0.001 [-0.003,0.002]",1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-LDL-FC%,"-0.001 [-0.004,0.001]",1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-FC%,"-0.002 [-0.004,0.001]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-CE%,"-0.002 [-0.004,0.000]",1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-LDL-C%,"-0.003 [-0.005,-0.000]",1.000,,Cholesterol to Total-Lipids in Large LDL percentage
