Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
SFA%,"0.124 [0.081,0.166]",0.003,**,Saturated Fatty Acids to Total-Fatty Acids percentage
HDL-FC,"0.053 [0.006,0.100]",1.000,,Free Cholesterol in HDL
M-LDL-TG%,"0.018 [-0.024,0.060]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Total-FC,"0.015 [-0.027,0.058]",1.000,,Total-Free Cholesterol
Albumin,"0.007 [-0.036,0.049]",1.000,,Albumin
Omega-6/Omega-3,"-0.001 [-0.044,0.041]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-C,"-0.001 [-0.043,0.041]",1.000,,LDL Cholesterol
LDL-CE,"-0.002 [-0.043,0.040]",1.000,,Cholesteryl Esters in LDL
ApoB,"-0.003 [-0.045,0.038]",1.000,,Apolipoprotein B
M-LDL-FC%,"-0.017 [-0.061,0.026]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
