Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,"0.003 [0.001,0.005]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
HDL-FC,"0.002 [-0.000,0.004]",1.000,,Free Cholesterol in HDL
Glu,"0.001 [-0.001,0.003]",1.000,,Glucose
Citrate,"0.001 [-0.001,0.003]",1.000,,Citrate
Total-FA,"0.001 [-0.001,0.003]",1.000,,Total-Fatty Acids
Total-CE,"-0.001 [-0.003,0.001]",1.000,,Total-Esterified Cholesterol
LDL-CE,"-0.001 [-0.003,0.001]",1.000,,Cholesteryl Esters in LDL
VLDL-CE,"-0.002 [-0.003,0.000]",1.000,,Cholesteryl Esters in VLDL
Omega-3%,"-0.005 [-0.007,-0.003]",0.136,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,"-0.005 [-0.007,-0.003]",0.106,,Docosahexaenoic Acid to Total-Fatty Acids percentage
