Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,2.23 [1.95-2.55],5.560e-27,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,2.15 [1.90-2.44],2.673e-28,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,2.06 [1.83-2.33],3.531e-26,***,Triglycerides to Total-Lipids in Large LDL percentage
S-VLDL-TG%,2.00 [1.74-2.30],1.429e-17,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.97 [1.72-2.25],6.864e-18,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.94 [1.73-2.17],1.691e-25,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.93 [1.71-2.17],3.260e-22,***,Triglycerides to Total-Lipids in Small LDL percentage
GlycA,1.90 [1.69-2.15],3.846e-20,***,Glycoprotein Acetyls
MUFA%,1.78 [1.55-2.04],4.541e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG%,1.73 [1.49-2.03],7.203e-07,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-HDL-PL%,1.69 [1.48-1.93],1.120e-09,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,1.63 [1.44-1.86],1.579e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-TG%,1.58 [1.39-1.80],1.654e-06,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,1.54 [1.36-1.76],1.311e-05,***,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-TG,1.49 [1.33-1.67],3.428e-06,***,Triglycerides in Small HDL
L-HDL-TG%,1.47 [1.28-1.69],0.010,**,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.47 [1.28-1.68],0.007,**,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.44 [1.26-1.65],0.017,*,Triglycerides to Total-Lipids in Medium HDL percentage
HDL-TG,1.43 [1.28-1.60],1.201e-04,***,Triglycerides in HDL
M-HDL-TG,1.42 [1.27-1.59],1.150e-04,***,Triglycerides in Medium HDL
XS-VLDL-TG,1.38 [1.24-1.55],0.005,**,Triglycerides in Very Small VLDL
M-LDL-P,0.69 [0.60-0.80],0.041,*,Concentration of Medium LDL Particles
L-HDL-FC%,0.69 [0.61-0.79],0.005,**,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-CE%,0.69 [0.60-0.79],0.027,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-LDL-C,0.69 [0.61-0.79],0.007,**,Cholesterol in Medium LDL
LDL-CE,0.69 [0.60-0.78],0.002,**,Cholesteryl Esters in LDL
S-HDL-CE%,0.68 [0.61-0.77],1.072e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-LDL-L,0.68 [0.59-0.78],0.004,**,Total-Lipids in Small LDL
XL-HDL-CE,0.68 [0.59-0.79],0.042,*,Cholesteryl Esters in Very Large HDL
L-LDL-PL%,0.68 [0.60-0.77],6.202e-05,***,Phospholipids to Total-Lipids in Large LDL percentage
