Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Tyr,1.12 [0.95-1.32],1.000,,Tyrosine
M-LDL-PL%,1.01 [0.85-1.20],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Total-BCAA,1.00 [0.84-1.20],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.00 [0.84-1.20],1.000,,Valine
Ile,1.00 [0.84-1.20],1.000,,Isoleucine
VLDL-C,0.95 [0.80-1.14],1.000,,VLDL Cholesterol
HDL-CE,0.92 [0.76-1.12],1.000,,Cholesteryl Esters in HDL
Remnant-C,0.90 [0.76-1.07],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.88 [0.73-1.05],1.000,,Total-Cholesterol
M-LDL-FC%,0.82 [0.69-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
