Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.87 [1.61-2.17],2.590e-11,***,Creatinine
M-LDL-TG%,1.23 [1.08-1.41],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.09 [0.94-1.26],1.000,,Monounsaturated Fatty Acids
SFA%,1.04 [0.90-1.20],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
DHA,1.04 [0.90-1.19],1.000,,Docosahexaenoic Acid
Non-HDL-C,0.93 [0.81-1.06],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.92 [0.81-1.06],1.000,,LDL Cholesterol
Clinical LDL-C,0.91 [0.79-1.04],1.000,,Clinical LDL Cholesterol
HDL-C,0.88 [0.75-1.02],1.000,,HDL Cholesterol
M-LDL-FC%,0.85 [0.74-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
