Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.16 [1.12-1.19],1.438e-16,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.15 [1.12-1.19],6.030e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.14 [1.10-1.17],2.050e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.13 [1.10-1.16],6.263e-12,***,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA%,1.13 [1.09-1.16],1.656e-08,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG%,1.12 [1.09-1.15],1.048e-09,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.12 [1.08-1.16],8.704e-07,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-TG%,1.12 [1.08-1.15],4.457e-07,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,1.11 [1.08-1.15],4.601e-06,***,Triglycerides to Total-Lipids in Large HDL percentage
M-HDL-PL%,1.11 [1.08-1.15],7.747e-06,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.11 [1.08-1.14],1.359e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
GlycA,1.10 [1.07-1.14],2.554e-05,***,Glycoprotein Acetyls
M-HDL-TG%,1.10 [1.07-1.14],1.161e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG,1.10 [1.07-1.13],2.889e-06,***,Triglycerides in Small HDL
M-VLDL-TG%,1.10 [1.07-1.13],6.109e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,1.10 [1.06-1.13],1.864e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.09 [1.06-1.12],3.004e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-HDL-TG,1.09 [1.06-1.12],7.582e-05,***,Triglycerides in Medium HDL
XS-VLDL-TG,1.09 [1.06-1.12],2.164e-04,***,Triglycerides in Very Small VLDL
XXL-VLDL-PL%,1.09 [1.06-1.12],3.515e-04,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-PL%,1.09 [1.06-1.12],0.001,**,Phospholipids to Total-Lipids in Large VLDL percentage
HDL-TG,1.09 [1.06-1.12],4.905e-04,***,Triglycerides in HDL
IDL-TG,1.08 [1.05-1.11],0.010,*,Triglycerides in IDL
XL-HDL-L,0.92 [0.90-0.95],0.030,*,Total-Lipids in Very Large HDL
XL-VLDL-C%,0.92 [0.90-0.95],0.009,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-CE%,0.92 [0.90-0.95],0.002,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XL-VLDL-CE%,0.92 [0.89-0.95],0.005,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-PL%,0.92 [0.89-0.95],0.003,**,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.92 [0.89-0.95],0.001,**,Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-FC,0.92 [0.89-0.94],7.726e-04,***,Free Cholesterol in Very Large HDL
Unsaturation,0.92 [0.89-0.95],0.008,**,Degree of Unsaturation
XS-VLDL-FC%,0.91 [0.89-0.94],6.986e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
