Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-CE%,1.09 [0.96-1.23],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-LDL-FC%,1.07 [0.94-1.21],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-C%,1.05 [0.93-1.19],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-TG%,1.05 [0.95-1.16],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,1.01 [0.90-1.13],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-PL%,0.99 [0.89-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
VLDL-C,0.96 [0.86-1.07],1.000,,VLDL Cholesterol
LDL-CE,0.95 [0.85-1.06],1.000,,Cholesteryl Esters in LDL
Total-CE,0.93 [0.83-1.05],1.000,,Total-Esterified Cholesterol
HDL-CE,0.92 [0.82-1.04],1.000,,Cholesteryl Esters in HDL
