Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.18 [1.01-1.38],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.14 [0.97-1.33],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.12 [0.96-1.30],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.10 [0.94-1.28],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.03 [0.88-1.21],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-FC%,0.88 [0.75-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.84 [0.73-0.98],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.84 [0.73-0.97],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.84 [0.72-0.97],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.83 [0.71-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
