Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-PL%,1.21 [1.00-1.45],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.05 [0.88-1.26],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-TG%,1.02 [0.84-1.24],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.02 [0.84-1.23],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.01 [0.83-1.22],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.96 [0.79-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.95 [0.77-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,0.94 [0.77-1.15],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.93 [0.76-1.15],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,0.85 [0.72-1.01],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
