Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.25 [1.02-1.53],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.10 [0.90-1.34],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.07 [0.88-1.30],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-C%,1.06 [0.86-1.30],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-FC%,1.00 [0.80-1.25],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-FC%,0.92 [0.75-1.12],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-CE%,0.84 [0.69-1.02],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.82 [0.67-1.00],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.81 [0.67-0.98],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.80 [0.66-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
