Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Albumin,1.14 [0.99-1.31],1.000,,Albumin
Creatinine,1.12 [0.95-1.32],1.000,,Creatinine
M-LDL-TG%,1.09 [0.95-1.25],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Unsaturation,1.07 [0.92-1.24],1.000,,Degree of Unsaturation
Total-FA,1.01 [0.87-1.17],1.000,,Total-Fatty Acids
Tyr,0.99 [0.86-1.13],1.000,,Tyrosine
Phe,0.99 [0.86-1.13],1.000,,Phenylalanine
ApoB,0.93 [0.81-1.06],1.000,,Apolipoprotein B
M-LDL-FC%,0.92 [0.79-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.92 [0.80-1.06],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
