Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.55 [1.32-1.82],0.015,*,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.54 [1.31-1.81],0.031,*,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.51 [1.27-1.80],0.746,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.47 [1.26-1.71],0.119,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.37 [1.16-1.62],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
IDL-CE%,0.70 [0.60-0.81],0.397,,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.69 [0.60-0.80],0.111,,Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.68 [0.58-0.79],0.174,,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,0.67 [0.58-0.79],0.111,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.67 [0.57-0.78],0.106,,Cholesterol to Total-Lipids in Very Small VLDL percentage
