Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.17 [1.14-1.19],3.449e-37,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.16 [1.14-1.19],2.323e-35,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.15 [1.12-1.17],1.618e-31,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.13 [1.10-1.15],1.022e-20,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.13 [1.10-1.15],5.513e-22,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.11 [1.09-1.14],2.572e-17,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-HDL-PL%,1.11 [1.08-1.14],2.025e-13,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,1.11 [1.08-1.13],7.258e-15,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-PL%,1.11 [1.08-1.13],2.356e-14,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-PL%,1.11 [1.08-1.13],4.151e-11,***,Phospholipids to Total-Lipids in Large HDL percentage
MUFA%,1.10 [1.08-1.13],1.203e-10,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,1.10 [1.07-1.12],4.714e-12,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-PL%,1.09 [1.06-1.11],4.581e-10,***,Phospholipids to Total-Lipids in IDL percentage
GlycA,1.08 [1.06-1.11],2.429e-06,***,Glycoprotein Acetyls
S-HDL-TG%,1.07 [1.04-1.09],6.778e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
M-HDL-TG,1.06 [1.04-1.08],8.508e-04,***,Triglycerides in Medium HDL
M-HDL-TG%,1.06 [1.04-1.09],0.014,*,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-TG%,1.06 [1.04-1.08],0.007,**,Triglycerides to Total-Lipids in Very Large VLDL percentage
VLDL-CE,0.95 [0.93-0.97],0.042,*,Cholesteryl Esters in VLDL
Tyr,0.95 [0.93-0.97],0.048,*,Tyrosine
XS-VLDL-C,0.94 [0.93-0.96],0.011,*,Cholesterol in Very Small VLDL
Omega-6,0.94 [0.92-0.96],0.023,*,Omega-6 Fatty Acids
PUFA,0.94 [0.92-0.96],0.013,*,Polyunsaturated Fatty Acids
Sc-ala,0.94 [0.92-0.96],0.004,**,Spectrometer-corrected alanine
S-HDL-FC%,0.94 [0.92-0.96],0.003,**,Free Cholesterol to Total-Lipids in Small HDL percentage
