Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.17 [1.14-1.21],2.601e-18,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-TG%,1.17 [1.13-1.20],4.134e-18,***,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.15 [1.12-1.19],1.154e-15,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.14 [1.11-1.18],2.382e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.13 [1.10-1.17],5.304e-11,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-PL%,1.12 [1.09-1.16],1.588e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,1.12 [1.09-1.16],1.421e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
GlycA,1.12 [1.08-1.15],1.774e-06,***,Glycoprotein Acetyls
MUFA%,1.12 [1.08-1.15],2.159e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-PL%,1.11 [1.08-1.15],6.047e-06,***,Phospholipids to Total-Lipids in Small HDL percentage
M-HDL-PL%,1.11 [1.08-1.15],4.415e-05,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-PL%,1.11 [1.07-1.15],1.654e-04,***,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-TG%,1.11 [1.07-1.14],1.395e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
IDL-PL%,1.08 [1.05-1.11],0.017,*,Phospholipids to Total-Lipids in IDL percentage
ApoB,0.93 [0.90-0.95],0.048,*,Apolipoprotein B
M-VLDL-C,0.92 [0.90-0.95],0.015,*,Cholesterol in Medium VLDL
Total-FC,0.92 [0.90-0.95],0.022,*,Total-Free Cholesterol
S-LDL-L,0.92 [0.89-0.95],0.006,**,Total-Lipids in Small LDL
M-LDL-L,0.92 [0.89-0.95],0.008,**,Total-Lipids in Medium LDL
M-LDL-PL,0.92 [0.89-0.95],0.003,**,Phospholipids in Medium LDL
M-LDL-P,0.92 [0.89-0.95],0.003,**,Concentration of Medium LDL Particles
S-LDL-PL,0.92 [0.89-0.95],0.001,**,Phospholipids in Small LDL
XL-HDL-CE%,0.92 [0.89-0.95],0.037,*,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-PL,0.92 [0.89-0.95],0.002,**,Phospholipids in IDL
M-LDL-C,0.92 [0.89-0.94],0.001,**,Cholesterol in Medium LDL
Non-HDL-C,0.92 [0.89-0.94],7.905e-04,***,Total-Cholesterol Minus HDL-C
L-HDL-CE%,0.92 [0.89-0.95],0.036,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
LDL-CE,0.92 [0.89-0.94],8.204e-04,***,Cholesteryl Esters in LDL
Total-C,0.92 [0.89-0.94],0.002,**,Total-Cholesterol
S-LDL-C,0.92 [0.89-0.94],4.334e-04,***,Cholesterol in Small LDL
Total-CE,0.91 [0.89-0.94],9.137e-04,***,Total-Esterified Cholesterol
LDL-L,0.91 [0.89-0.94],2.221e-04,***,Total-Lipids in LDL
M-VLDL-PL%,0.91 [0.89-0.94],2.421e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.91 [0.88-0.94],0.001,**,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-C%,0.91 [0.88-0.94],0.010,*,Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-CE,0.91 [0.89-0.94],1.428e-04,***,Cholesteryl Esters in Large LDL
M-VLDL-CE,0.91 [0.89-0.94],3.548e-05,***,Cholesteryl Esters in Medium VLDL
Omega-6%,0.91 [0.88-0.94],0.003,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-HDL-CE%,0.91 [0.88-0.94],9.393e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-VLDL-CE%,0.91 [0.88-0.94],3.539e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Citrate,0.91 [0.88-0.94],1.406e-04,***,Citrate
L-LDL-L,0.91 [0.88-0.94],5.309e-05,***,Total-Lipids in Large LDL
IDL-P,0.91 [0.88-0.93],6.329e-06,***,Concentration of IDL Particles
IDL-L,0.91 [0.88-0.94],3.679e-05,***,Total-Lipids in IDL
LDL-PL,0.91 [0.88-0.93],1.315e-05,***,Phospholipids in LDL
LDL-C,0.91 [0.88-0.93],2.131e-05,***,LDL Cholesterol
XL-VLDL-CE%,0.91 [0.88-0.94],1.118e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-LDL-C,0.90 [0.88-0.93],6.173e-06,***,Cholesterol in Large LDL
M-VLDL-FC%,0.90 [0.88-0.93],6.405e-06,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
